datetime_utc,value,parameter,unit,sensor_id,location_name,city,country
2016-01-30 04:30:00+00:00,906.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 04:30:00+00:00,909.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 04:30:00+00:00,676.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 04:45:00+00:00,1617.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 04:45:00+00:00,850.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 04:45:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 05:00:00+00:00,101.6,pm10,µg/m³,87,Gobernación,Unknown,CL
2016-01-30 05:00:00+00:00,863.0,co,µg/m³,68,Amgalan,Unknown,MN
2016-01-30 05:00:00+00:00,-999.0,co,µg/m³,162,Badhoevedorp-Sloterweg,Unknown,NL
2016-01-30 05:00:00+00:00,0.0,so2,µg/m³,89,Coya Población,Unknown,CL
2016-01-30 05:00:00+00:00,646.5,co,µg/m³,223,Escuela E-10,Unknown,CL
2016-01-30 05:00:00+00:00,17.0,no2,µg/m³,88,Haringey Roadside,Unknown,GB
2016-01-30 05:00:00+00:00,248.0,co,µg/m³,4385,Talagante,Unknown,CL
2016-01-30 05:00:00+00:00,-3.0,no2,µg/m³,237,London Harlington - UKA00472,Unknown,GB
2016-01-30 05:00:00+00:00,457.9,co,µg/m³,4422,Coyhaique II,Unknown,CL
2016-01-30 05:00:00+00:00,712.0,co,µg/m³,4990,Konarskiego,Unknown,PL
2016-01-30 05:00:00+00:00,0.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 05:00:00+00:00,644.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 05:00:00+00:00,35.63,pm10,µg/m³,110,Curicó,Unknown,CL
2016-01-30 05:00:00+00:00,216.3,co,µg/m³,165,IJmuiden-Kanaaldijk,Unknown,NL
2016-01-30 05:00:00+00:00,8.54166666666667,pm10,µg/m³,4700,Amsterdam-Westerpark,Unknown,NL
2016-01-30 05:00:00+00:00,820.8,co,µg/m³,209,Los Vientos,Unknown,CL
2016-01-30 05:00:00+00:00,19.0,no2,µg/m³,251,Southwark A2 Old Kent Road,Unknown,GB
2016-01-30 05:00:00+00:00,-999.0,co,µg/m³,167,Wijk aan Zee-Burgemeester Rothestraat,Unknown,NL
